time value
1 6.62250
2 5.93500
3 5.08750
4 5.09750
5 5.35500
6 4.92750
7 4.73250
8 4.44500
9 4.67250
10 3.89750
11 2.78750
12 2.69750
13 1.36000
14 -0.65000
