time value
0.0 8.0
0.5 2.0
1.0 3.0
1.5 10.0
2.0 24.0
2.5 41.0
3.0 49.0
3.5 88.0
4.0 135.0
4.5 235.0
5.0 438.0
5.5 682.0
6.0 1027.0
