time value
1 7.02500
2 5.40250
3 6.28250
4 7.75500
5 7.09250
6 6.30250
7 4.96000
8 2.53000
9 4.28500
10 2.26250
11 3.13000
12 2.11000
13 2.80250
14 -0.65000
