time value
1 6.45750
2 7.76000
3 7.18750
4 5.39500
5 5.88750
6 5.20750
7 5.60500
8 4.19250
9 3.62000
10 3.76500
11 1.76250
12 1.31750
13 -0.65000
14 2.13750
