time value
1 5.51250
2 7.24000
3 7.25500
4 7.55750
5 7.27750
6 5.31000
7 3.43000
8 3.17000
9 2.27500
10 1.48500
11 2.42000
12 1.68000
13 2.07500
14 2.04250
