time value
1 -0.65000
2 1.31250
3 5.83000
4 7.40750
5 7.71000
6 7.59750
7 6.98000
8 5.88500
9 3.93500
10 3.11250
11 2.79500
12 2.94750
13 1.44000
14 -0.65000
