time value
1 5.75250
2 5.89750
3 6.17000
4 7.22000
5 7.61750
6 7.88000
7 7.43000
8 5.30500
9 4.75500
10 3.06250
11 3.29000
12 2.54000
13 2.42000
14 1.70500
